,InletMethod,SMILES,RetentionTime,MolPol,IES
134,Standard_3min_col2_alk,CC1=C(COC(=O)[C@H](NCc2oc(cc2)c3ccccc3C(=O)N4CCC(CC4)(C(=O)NCC5(F)CCC5)c6ccc(Br)cc6F)c7cccs7)OC(=O)O1,132.70680000000002,525.3022725050429,-0.5844412043212796
135,Standard_3min_col2_alk,CC(C)C[C@@H](NC(=O)[C@H](O)CCc1ccccc1)C(=O)O,141.12300000000005,207.7488560140639,-0.31638606730210383
136,Standard_3min_col2_alk,O[C@H](CCc1ccccc1)C(=O)N[C@H](Cc2ccccc2)C(=O)O,57.7638,235.51307965171696,-0.3056174848548394
137,Standard_3min_col2_alk,O[C@H](CCc1ccccc1)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)O,40.083,240.0085964162928,-0.3459480289042368
138,EP_NH3_2,C[C@H]1NC2=NC(=O)c3[nH]ccc3N2Cc4ccc(Cl)cc14,101.5812,205.2970133491206,-0.22485321035660769
139,EP_NH3_2,CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc(s2)c3c(C)cccc3C)cc1,91.161,302.25306621742936,-0.27911610155906263
140,BEH_NH3_H2O_B2_4,CCS(=O)(=O)c1ccc(cc1)[C@H](CC(=O)N2CCCC2)C(=O)Nc3ccc(cc3)C(O)(C(F)(F)F)C(F)(F)F,97.413,342.843005494764,-0.4896456327984922
141,BEH_NH3_H2O_B2_4,N[C@H](Cc1ccccc1)[C@@H](O)C(=O)N2CCc3ccccc3C2,94.287,233.40113746024846,-0.2826910640351312
142,Standard_3min_col2_alk,CCOCC(=O)N1CCC(CC1)[C@@H](NC(=O)C)C(=O)Nc2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F,61.180200000000006,301.34768687878653,-0.5096574731643708
143,Standard_3min_col2_alk,CC(=O)N[C@H](C1CCN(CC1)C(=O)CC2CC2)C(=O)Nc3ccc(cc3)C(O)(C(F)(F)F)C(F)(F)F,67.02600000000001,303.2433519387262,-0.4832477998896175
144,Standard_3min_col2_alk,CC(=O)N[C@H](C1CCN(CC1)C(=O)CC(C)(C)O)C(=O)Nc2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F,60.291,312.9486403289212,-0.5365424672656149
145,Standard_3min_col2_alk,COC(C)(C)C(=O)N1CCC(CC1)[C@@H](NC(=O)C)C(=O)Nc2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F,67.869,313.1756482747241,-0.5223393667202394
146,Standard_3min_col2_alk,CC(=O)N[C@H](C1CCN(CC1)C(=O)C2(CC2)C#N)C(=O)Nc3ccc(cc3)C(O)(C(F)(F)F)C(F)(F)F,64.5492,304.59761961000453,-0.4971138765774095
147,BEH_NH3_3,N[C@H](Cc1ccccc1)[C@@H](O)C(=O)NCc2cccc(c2)c3ccccc3,98.4558,277.74707208281256,-0.3091226728841531
148,BEH_NH3_3,N[C@H](Cc1ccccc1)[C@@H](O)C(=O)NCCc2ccncc2,121.3788,221.7454352433649,-0.3203999785114019
149,BEH_NH3_3,Nc1ncc(nc1C(=O)Nc2cccnc2)c3ccc(cc3)S(=O)(=O)N4CCNCC4,132.8418,302.18701404833837,-0.4670505325569521
150,Standard_3min_col3_sur,NC(=O)C1(CCN(CC1)C(=O)c2cccc3ccn(CCCc4cccs4)c23)c5ccc(Br)cc5F,126.0282,372.0077066260253,-0.3511081481609035
151,Standard_3min_col3_sur,CN(C)c1ccc2cnn(c3cncc(NCCCNC(=O)OC(C)(C)C)n3)c2c1,117.5502,295.9870331821621,-0.3962591353871635
152,Luna_NH3_1,C[C@H](NC(=O)[C@H](O)[C@H](N)Cc1ccccc1)c2ccccc2,33.8508,226.45997663766445,-0.29558709076928835
153,Luna_NH3_1,N[C@H](Cc1ccccc1)[C@@H](O)C(=O)Nc2cccc(Cl)c2,71.36280000000002,215.0965925560341,-0.2734478719726892
154,Luna_NH3_1,C[C@@H](NC(=O)[C@H](O)[C@H](N)Cc1ccccc1)c2ccccc2,94.287,226.4320701225224,-0.29516108490528004
155,Luna_NH3_1,COc1ccc(NC(=O)[C@H](O)[C@H](N)Cc2ccccc2)cc1,109.917,219.30962381845225,-0.30754973579926176
156,Luna_NH3_1,COc1cccc(NC(=O)[C@H](O)[C@H](N)Cc2ccccc2)c1,109.917,219.33274157191246,-0.3108195968851536
157,Luna_NH3_1,COc1ccccc1NC(=O)[C@H](O)[C@H](N)Cc2ccccc2,103.665,219.41652374458363,-0.2994312109421054
158,Standard_3min_col2_alk,NC(=O)C12CCN(CC1)C(=O)c3ccccc3c4oc(CNCc5cccc(Oc6cc2ccc6Cl)c5)cc4,175.7502,383.69590399069375,-0.3874258427999555
159,BEH_NH3_3,CCn1nc(C)c(c1C)S(=O)(=O)Nc2cc(cnc2Cl)c3ccccc3C,41.184,281.5149642358522,-0.2931242902937111
160,Standard_3min_col3_sur,FC(F)(F)c1c(cnn1c2ccccc2)C(=O)Nc3nc4ccc(cc4s3)N(=O)=O,124.28399999999999,261.1242111372361,-0.2688286418597696
161,Standard_3min_col3_sur,FC(F)(F)c1c(cnn1c2ccccc2)C(=O)Nc3ccn(CCN4CCOCC4)n3,67.88579999999999,275.8151005387812,-0.34079772033083544
162,Luna_NH3_1,CC(Oc1cccc2C(=O)N(CC(=O)NC3CCCc4nccnc34)C=Cc12)C(=O)O,169.31220000000005,285.4506456486134,-0.4051859113660863
163,BEH_NH3_3,COCCCn1c(N)c(C(=O)Nc2ccc(C)cc2)c3nc4cc5OCCOc5cc4nc13,67.1952,312.5545896923539,-0.4096401473252125
164,BEH_NH3_3,C[C@@H](C1CC1)N2Cc3cc4cc(c3C2=O)S(=O)(=O)NCCCCCN(C)C(=O)c5cccc(Nc6nc(C)c4s6)n5,127.632,413.581690716565,-0.5029723572730052
165,BEH_NH3_3,N[C@H](Cc1ccccc1)[C@@H](O)C(=O)NCCN2CCOCC2,108.8748,219.7091560948042,-0.35128220391522885
166,BEH_NH3_3,N[C@H](Cc1ccccc1)[C@@H](O)C(=O)NCCN2CCCCC2,169.31099999999995,226.64985420114448,-0.3312083823832538
167,Luna_NH3_1,Cc1cc(NC(=O)c2cnn(c3ccccc3)c2C(F)(F)F)on1,36.9768,203.63288733105298,-0.2282344819697089
168,Standard_3min_col2_alk,NC(=O)C1(CCN(CC1)C(=O)c2ccccc2c3oc(\C=C(/C#N)\c4ccccn4)cc3)c5ccc(Br)cc5F,112.5168,389.1421180956508,-0.3988145009481838
169,Standard_3min_col2_alk,COC(=O)[C@H](NCc1oc(cc1)c2ccccc2C(=O)N3CCC(CC3)(C#N)c4ccc(Cl)c(OC)c4)c5cccs5,127.65,418.2199694450695,-0.41006938532221066
170,Standard_3min_col2_alk,CC(=O)N[C@H](C1CCN(CC1)C(=O)C2(O)CC2)C(=O)Nc3ccc(cc3)C(O)(C(F)(F)F)C(F)(F)F,59.49,296.24232798997417,-0.5137812167383942
171,Standard_3min_col2_alk,CC(C)CCNC(=O)[C@@H](O)CCc1ccccc1,96.4962,189.6131519096392,-0.2350825115127896
172,Standard_3min_col2_alk,C[C@H](NC(=O)[C@H](O)[C@@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)OC(C)(C)C,113.3358,294.70007942427054,-0.4512076387449396
173,Standard_3min_col2_alk,CC[C@H](C)[C@H](NC(=O)[C@H](O)[C@H](N)Cc1ccccc1)C(=O)O,45.1692,216.78842617270269,-0.3722204230068239
174,Standard_3min_col2_alk,N[C@H](Cc1ccccc1)[C@@H](O)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)O,49.38180000000001,271.16312258369913,-0.4075187166736866
175,EP_NH3_2,Cc1ccc(NC(=O)c2c(N)n(CCOCCNC(=O)OC(C)(C)C)c3nc4ccccc4nc23)cc1,73.4478,358.9359377450405,-0.4934630324412697
176,EP_NH3_2,O[C@H](CNC(=O)CCN1CCc2ccccc12)COc3ccc(cc3)c4nc5ccccc5s4,94.2888,345.8608832625238,-0.3405044201756171
177,EP_NH3_2,Cn1cncc1CC(=O)NC[C@@H](O)COc2ccc(cc2)c3nc4ccccc4s3,85.9518,299.9952390611401,-0.34001895611105964
178,EP_NH3_2,Clc1ccc(NC(=O)NCCc2cnc3CCCCn23)cc1Cl,109.9188,235.11211404726555,-0.2577550107923701
179,EP_NH3_2,Clc1ccc(NC(=O)NCCc2cn(Cc3ccccc3)c4ccccc24)cc1Cl,94.2888,312.7493821025948,-0.2555401532099132
180,EP_NH3_2,Clc1ccc2c(CCNC(=O)Nc3ccc(Cl)c(Cl)c3)c[nH]c2c1,123.465,250.15208554820305,-0.23373736789852195
181,EP_NH3_2,Fc1ccc2c(CCNC(=O)Nc3ccc(Cl)c(Cl)c3)c[nH]c2c1,113.0448,238.19363774771242,-0.2504248822088566
182,BEH_NH3_3,CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc(cc2)C(OCC(=O)Nc3ccccc3)(C(F)(F)F)C(F)(F)F)cc1,76.5738,363.6686286252658,-0.4804807922625536
183,Luna_NH3_1,FC(F)(F)c1c(cnn1c2ccccc2)C(=O)Nc3ccc4ncoc4c3,65.112,231.7770526336272,-0.2606516341424148
184,Luna_NH3_1,CN1Cc2ccc(NC(=O)c3cnn(c4ccccc4)c3C(F)(F)F)cc2C1,78.6582,253.4697301198046,-0.2676308138875305
185,BEH_NH3_3,COC(=O)[C@H]1C[C@@]2(C[C@@H]1NC(=O)N[C@H]3C[C@]4(C[C@@H]3C(=O)OC)OCCC4(C)C)OCCC2(C)C,47.39700000000001,322.8395676736763,-0.4874805474060455
186,BEH_NH3_3,CC(C)(C)C(=O)OCOC(=O)[C@H](NCc1oc(cc1)c2ccccc2C(=O)N3CCC(CC3)(C(=O)N)c4ccc(Br)cc4F)c5cccs5,93.2448,483.7384369765079,-0.5631031373927909
187,Luna_NH3_1,C[C@@H](NC(=O)c1nc(N)nc2CCCc12)c3ccccc3,53.6502,207.6490487590588,-0.2855535562925229
188,Standard_3min_col3_sur,CCS(=O)(=O)c1ccc(CC(=O)Nc2c(F)cc(cc2F)C(O)(C(F)(F)F)C(F)(F)F)cc1,101.5482,267.7760480193193,-0.3834953513722241
189,Standard_3min_col3_sur,CCS(=O)(=O)c1ccc(cc1)[C@H](CC(=O)O)C(=O)Nc2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F,95.7312,296.44383750048627,-0.44944080484660215
190,BEH_NH3_3,CCS(=O)(=O)c1ccc(cc1)[C@@H](NC(=O)Cc2csc(C)n2)C(=O)Nc3ccc(cc3)C(O)(C(F)(F)F)C(F)(F)F,84.9102,368.1180209905895,-0.5066360062684138
