,InletMethod,SMILES,RetentionTime,MolPol,IES,IsPublic,SampleID
514,grad5min_col2_alk,CCOc1cc(Cl)c(cc1N2CCOCC2)C(=O)Nc3nc4ccc(cc4s3)S(=O)(=O)C5CCN(C)CC5,81.84479999999998,388.4300475373256,-0.43426749024149297,Y,SN1041645529
515,grad5min_col2_alk,CCOc1cc(Cl)c(cc1N2CCOCC2)C(=O)Nc3nc4ccc(OC5CCN(C)CC5)cc4s3,105.594,363.76613707247583,-0.3734049779219549,Y,SN1041645633
529,grad5min_col1_surt,CN(C)CCNC(=O)[C@H]1CN(C[C@@H]1NC(=O)c2cc3cc(C)ccc3[nH]2)S(=O)(=O)c4ccccc4,92.226,352.23825891233565,-0.4708188973405706,Y,SN1042184691
530,grad5min_col1_surt,CN(C)CCNC(=O)[C@@H]1CN(C[C@H]1NC(=O)c2cc3cc(C)ccc3[nH]2)S(=O)(=O)c4ccccc4,91.62,352.15364041684836,-0.4764255073758996,Y,SN1042184587
661,grad5min_col1_surt,CCOc1cc(Cl)c(cc1N2CCOCC2)C(=O)NC(=O)Nc3nc4CCN(Cc4s3)C(=O)CO,124.4862,335.81488772409864,-0.4692386055238557,Y,SN1041647369
713,grad5min_col2_alk,CN(C)Cc1ccc2CN(CCc2c1)C(=O)c3cc4cc(C)ncc4n3C,122.7,274.84756383845655,-0.26184584489955043,Y,SN1041064221
720,grad5min_col2_alk,Cn1cc(NC(=O)[C@@H]2CCCC[C@H]2C(=O)c3ccc(cc3)c4cc[nH]n4)c(n1)C(F)F,128.7948,285.1363712689644,-0.3556182404314082,Y,SN1040682817
743,grad5min_col2_alk,CCOc1cc(Cl)c(cc1N2CCOCC2)C(=O)Nc3nc4ccccc4s3,188.3382,283.8517249163089,-0.2781735703639732,Y,SN1042722612
781,grad5min_col1_surt,Cn1nc(nc1C2(CC2)c3ccccc3)c4cnc(N)c(n4)n5nnc6ccccc56,167.658,294.5209269173384,-0.3151843299503484,Y,SN1041311825;SN1041312212
805,grad5min_col2_alk,CN(C)CCNC(=O)[C@H]1CN(C[C@@H]1NC(=O)c2cc3cc(C)ccc3[nH]2)S(=O)(=O)c4ccccc4,134.22480000000002,352.23825891233565,-0.4708188973405706,Y,SN1042184691
806,grad5min_col2_alk,CN(C)CCNC(=O)[C@@H]1CN(C[C@H]1NC(=O)c2cc3cc(C)ccc3[nH]2)S(=O)(=O)c4ccccc4,134.2152,352.15364041684836,-0.4764255073758996,Y,SN1042184587
812,grad5min_col1_surt,CCOc1cc(Cl)c(cc1N2CCOCC2)C(=O)NC(=O)Nc3nc4CCN(Cc4s3)C(=O)C,131.7702,331.0189692769783,-0.427630176929289,Y,SN1041644977
851,grad5min_col1_surt,CCOc1cc(Cl)c(cc1N2CCOCC2)C(=O)Nc3nc4ccc(CN5CCN(C)CC5)cc4s3,89.1588,368.2551156721323,-0.3755458216952499,Y,SN1041645232
925,grad5min_col1_surt,CC1=C(Cc2ccc(Cl)cc2)C(=O)n3ncc(C(=O)N4CCCC4)c3N1,136.66920000000002,254.0465463347942,-0.25921073320561805,Y,SN1043550812
938,grad5min_col1_surt,Cn1cc(NC(=O)[C@@H]2CCCC[C@H]2C(=O)c3ccc(cc3)c4cc[nH]n4)c(n1)C(F)F,135.49079999999998,285.1363712689644,-0.3556182404314082,Y,SN1040682817
963,grad5min_col2_alk,CN(C)CCNC(=O)[C@H]1CN(C[C@@H]1NC(=O)c2cc3cc(C)ccc3[nH]2)S(=O)(=O)c4ccccc4,136.059,352.23825891233565,-0.4708188973405706,Y,SN1040923127
1055,grad5min_col1_surt,C[C@H](Nc1ncnc2[nH]cnc12)C3=Nc4ccccc4C(=O)N3c5cccc(F)c5,109.8972,276.1105283871603,-0.35948886537796715,Y,SN1040793234
1098,grad5min_col1_surt,CCOc1cc(Cl)c(cc1N2CCOCC2)C(=O)NC(=O)Nc3nc4CCN(Cc4s3)C(=O)CO,124.5012,335.81488772409864,-0.4692386055238557,Y,SN1041647369
1113,grad5min_col2_alk,CCOc1ccc(cc1N2CCOCC2)C(=O)NC(=O)Nc3nc4ccc(CN5CCN(C)CC5)cc4s3,98.2698,378.501918462861,-0.4535050176759836,Y,SN1043425684
1114,grad5min_col2_alk,CN(C)CCNC(=O)[C@@H]1CN(C[C@H]1NC(=O)c2cc3cc(C)ccc3[nH]2)S(=O)(=O)c4ccccc4,134.1978,352.15364041684836,-0.4764255073758996,Y,SN1042185257
1115,grad5min_col2_alk,CN(C)CCNC(=O)[C@H]1CN(C[C@@H]1NC(=O)c2cc3cc(C)ccc3[nH]2)S(=O)(=O)c4ccccc4,133.5678,352.23825891233565,-0.4708188973405706,Y,SN1042185408
1118,iso_15_col5_sol6,CCOc1ccc(cc1N2CCOCC2)C(=O)NC(=O)Nc3nc4ccc(CN5CCN(C)CC5)cc4s3,202.8498,378.501918462861,-0.4535050176759836,Y,SN1043425684
1146,grad5min_col1_surt,CN(C)Cc1ccc2CN(CCc2c1)C(=O)c3cc4cc(ncc4n3C)c5ccccc5,61.1772,326.1454968215285,-0.2774333689620156,Y,SN1039704356
1158,grad5min_col1_surt,C[C@H](N1CCOCC1)c2nc(nn2C)c3cnc(N)c(n3)n4nnc5ccccc45,86.7072,280.9886715240125,-0.3733178172331951,Y,SN1041312344
1207,grad5min_col2_alk,Cn1nc(nc1C2(CC2)c3ccccc3)c4cnc(N)c(n4)n5nnc6ccccc56,156.717,294.5209269173384,-0.3151843299503484,Y,SN1041311825
1215,grad5min_col1_surt,O=C(CCC1CCNCC1)NS(=O)(=O)c2ccccc2,56.9172,207.01659366033292,-0.2880846753110347,Y,SN1042723277
1220,P_4min_10_45_sol6,O=C(CCC1CCNCC1)NS(=O)(=O)c2ccccc2,151.7442,207.01659366033292,-0.2880846753110347,Y,SN1042723277
1280,grad5min_col2_alk,O=C(CCC1CCNCC1)NS(=O)(=O)c2ccccc2,50.2212,207.01659366033292,-0.2880846753110347,Y,SN1042723277
1301,grad5min_col2_alk,CN(C)CCNC(=O)[C@H]1CN(C[C@@H]1NC(=O)c2cc3cc(C)ccc3[nH]2)S(=O)(=O)c4ccccc4,132.9558,352.23825891233565,-0.4708188973405706,Y,SN1040923500
1330,grad5min_col2_alk,CCOc1ccc(cc1N2CCOCC2)C(=O)NC(=O)Nc3nc4ccc(CN5CCN(C)CC5)cc4s3,88.542,378.501918462861,-0.4535050176759836,Y,SN1043425684
